Favorable	Unfavorable	Undecided	poll_slug	survey_house	start_date	end_date	question_text	sample_subpopulation	observations	margin_of_error	mode	partisanship	partisan_affiliation
56.0	33.0	12.0	ppp-d-27387	PPP (D)	2017-03-27	2017-03-28	Do you have a favorable or unfavorable opinion of Joe Biden?	Likely Voters	677	3.8	IVR/Online	Pollster	Dem
54.0	31.0	14.0	yougov-economist-27049	YouGov/Economist	2017-01-23	2017-01-25		Adults	2692	2.3	Internet	Nonpartisan	None
55.0	30.0	15.0	yougov-economist-27025	YouGov/Economist	2017-01-14	2017-01-17		Adults	1447	3.0	Internet	Nonpartisan	None
56.0	22.0	22.0	nbc-wsj-27023	NBC/WSJ	2017-01-12	2017-01-15		Adults	1000	3.1	Live Phone	Nonpartisan	None
50.0	33.0	17.0	yougov-economist-26996	YouGov/Economist	2017-01-07	2017-01-10		Adults	1424	3.1	Internet	Nonpartisan	None
61.0	30.0	10.0	gallup-27020	Gallup	2017-01-04	2017-01-08		Adults	1032	4.0	Live Phone	Nonpartisan	None
49.0	34.0	17.0	yougov-economist-26972	YouGov/Economist	2016-12-31	2017-01-03		Adults	1647	3.0	Internet	Nonpartisan	None
48.0	34.0	18.0	yougov-economist-26958	YouGov/Economist	2016-12-24	2016-12-27		Adults	1662	2.9	Internet	Nonpartisan	None
48.0	34.0	18.0	yougov-economist-26945	YouGov/Economist	2016-12-17	2016-12-20		Adults	1376	3.3	Internet	Nonpartisan	None
56.0	33.0	10.0	fox-26922	FOX	2016-12-11	2016-12-13		Registered Voters	1034	3.0	Live Phone	Nonpartisan	None
51.0	32.0	16.0	yougov-economist-26919	YouGov/Economist	2016-12-10	2016-12-13		Adults	1434		Internet	Nonpartisan	None
58.0	37.0	4.0	rasmussen-26907	Rasmussen	2016-12-06	2016-12-07		Likely Voters	1000	3.0	IVR/Online	Nonpartisan	None
56.0	34.0	9.0	bloomberg-selzer-26897	Bloomberg/Selzer	2016-12-02	2016-12-05		Adults	999	3.1	Live Phone	Nonpartisan	None
50.0	29.0	21.0	yougov-economist-26874	YouGov/Economist	2016-11-19	2016-11-22		Adults	1409		Internet	Nonpartisan	None
47.0	33.0	20.0	yougov-economist-26837	YouGov/Economist	2016-11-12	2016-11-15		Adults	1659	2.8	Internet	Nonpartisan	None
51.0	40.0	9.0	yougov-economist-26805	YouGov/Economist	2016-11-04	2016-11-07		Registered Voters	4171	1.8	Internet	Nonpartisan	None
56.0	38.0	7.0	bloomberg-selzer-26771	Bloomberg/Selzer	2016-11-04	2016-11-06		Likely Voters	799	3.5	Live Phone	Nonpartisan	None
52.0	40.0	8.0	yougov-economist-26618	YouGov/Economist	2016-10-30	2016-11-01		Registered Voters	1388	3.0	Internet	Nonpartisan	None
50.0	41.0	9.0	yougov-economist-26504	YouGov/Economist	2016-10-22	2016-10-26		Registered Voters	1376	3.1	Internet	Nonpartisan	None
47.0	36.0	16.0	yougov-economist-26280	YouGov/Economist	2016-10-15	2016-10-18		Adults	1300	3.9	Internet	Nonpartisan	None
49.0	38.0	12.0	yougov-economist-26019	YouGov/Economist	2016-10-07	2016-10-08		Adults	1300	4.2	Internet	Nonpartisan	None
49.0	38.0	13.0	yougov-economist-25893	YouGov/Economist	2016-10-01	2016-10-03		Adults	1300	3.7	Internet	Nonpartisan	None
52.0	37.0	12.0	yougov-economist-25649	YouGov/Economist	2016-09-22	2016-09-24		Adults	1300	3.9	Internet	Nonpartisan	None
49.0	37.0	13.0	yougov-economist-25587	YouGov/Economist	2016-09-18	2016-09-19		Adults	1300	3.9	Internet	Nonpartisan	None
50.0	38.0	12.0	yougov-economist-25487	YouGov/Economist	2016-09-10	2016-09-13		Adults	1300	3.9	Internet	Nonpartisan	None
52.0	36.0	11.0	yougov-economist-25411	YouGov/Economist	2016-09-04	2016-09-06		Adults	1300	4.4	Internet	Nonpartisan	None
50.0	38.0	13.0	yougov-economist-25297	YouGov/Economist	2016-08-27	2016-08-29		Adults	1282		Internet	Nonpartisan	None
48.0	36.0	15.0	yougov-economist-25247	YouGov/Economist	2016-08-19	2016-08-23		Adults	1286		Internet	Nonpartisan	None
54.0	33.0	14.0	yougov-economist-25194	YouGov/Economist	2016-08-14	2016-08-16		Adults	1285	4.1	Internet	Nonpartisan	None
49.0	38.0	13.0	yougov-economist-25107	YouGov/Economist	2016-08-06	2016-08-09		Adults	1300	3.9	Internet	Nonpartisan	None
51.0	37.0	12.0	yougov-economist-25040	YouGov/Economist	2016-07-30	2016-08-01		Adults	1300	4.0	Internet	Nonpartisan	None
50.0	39.0	11.0	ppp-d-25022	PPP (D)	2016-07-29	2016-07-30	Do you have a favorable or unfavorable opinion of Joe Biden?	Likely Voters	1276	2.7	IVR/Online	Pollster	Dem
49.0	35.0	16.0	yougov-economist-24962	YouGov/Economist	2016-07-23	2016-07-24	Do you have a favorable or an unfavorable opinion of the following people?	Adults	1300	4.2	Internet	Nonpartisan	None
49.0	37.0	14.0	yougov-economist-24925	YouGov/Economist	2016-07-15	2016-07-17	Do you have a favorable or an unfavorable opinion of the following people?	Adults	1300	4.3	Internet	Nonpartisan	None
48.0	38.0	14.0	yougov-economist-24874	YouGov/Economist	2016-07-09	2016-07-11		Adults	1300	4.2	Internet	Nonpartisan	None
52.0	37.0	11.0	yougov-economist-24823	YouGov/Economist	2016-07-02	2016-07-04		Adults	1300	3.9	Internet	Nonpartisan	None
49.0	38.0	12.0	yougov-economist-24795	YouGov/Economist	2016-06-24	2016-06-27		Adults	1300	3.9	Internet	Nonpartisan	None
50.0	37.0	13.0	yougov-economist-24739	YouGov/Economist	2016-06-18	2016-06-20		Adults	1300	3.2	Internet	Nonpartisan	None
53.0	35.0	12.0	bloomberg-selzer-24686	Bloomberg/Selzer	2016-06-10	2016-06-13		Adults	1000	3.1	Live Phone	Nonpartisan	None
53.0	36.0	12.0	fox-24646	FOX	2016-06-05	2016-06-08		Registered Voters	1004	3.0	Live Phone	Nonpartisan	None
51.0	36.0	13.0	yougov-economist-24633	YouGov/Economist	2016-06-02	2016-06-05		Adults	2000	3.2	Internet	Nonpartisan	None
51.0	37.0	13.0	yougov-economist-24557	YouGov/Economist	2016-05-20	2016-05-23		Adults	1977		Internet	Nonpartisan	None
50.0	36.0	14.0	yougov-economist-24478	YouGov/Economist	2016-05-06	2016-05-09		Adults	2000	3.0	Internet	Nonpartisan	None
48.0	37.0	16.0	yougov-economist-24390	YouGov/Economist	2016-04-22	2016-04-26		Adults	2000	2.8	Internet	Nonpartisan	None
47.0	39.0	13.0	yougov-economist-24266	YouGov/Economist	2016-04-08	2016-04-11		Adults	1980		Internet	Nonpartisan	None
47.0	37.0	16.0	yougov-economist-24181	YouGov/Economist	2016-03-26	2016-03-29		Adults	1978		Internet	Nonpartisan	None
48.0	38.0	15.0	yougov-economist-24084	YouGov/Economist	2016-03-10	2016-03-12		Adults	1973		Internet	Nonpartisan	None
46.0	35.0	18.0	yougov-economist-23910	YouGov/Economist	2016-02-24	2016-02-27		Adults	1977		Internet	Nonpartisan	None
45.0	39.0	17.0	yougov-economist-23794	YouGov/Economist	2016-02-11	2016-02-15		Adults	1987		Internet	Nonpartisan	None
47.0	37.0	16.0	yougov-economist-23654	YouGov/Economist	2016-01-27	2016-01-30		Adults	2000	2.9	Internet	Nonpartisan	None
45.0	38.0	16.0	yougov-economist-23553	YouGov/Economist	2016-01-15	2016-01-19		Adults	2000	2.9	Internet	Nonpartisan	None
45.0	39.0	16.0	yougov-economist-23415	YouGov/Economist	2015-12-18	2015-12-21		Adults	2000	3.1	Internet	Nonpartisan	None
45.0	38.0	18.0	yougov-economist-23302	YouGov/Economist	2015-12-04	2015-12-09		Adults	2000	3.0	Internet	Nonpartisan	None
45.0	39.0	16.0	yougov-economist-23236	YouGov/Economist	2015-11-19	2015-11-23		Adults	2000	3.1	Internet	Nonpartisan	None
43.0	39.0	18.0	yougov-economist-23109	YouGov/Economist	2015-11-05	2015-11-09		Adults	2000	3.0	Internet	Nonpartisan	None
46.0	38.0	15.0	yougov-economist-23014	YouGov/Economist	2015-10-23	2015-10-27		Adults	2000	3.0	Internet	Nonpartisan	None
40.0	39.0	21.0	ap-gfk-web-22961	AP-GfK (web)	2015-10-15	2015-10-19		Adults	1027	3.3	Internet	Nonpartisan	None
42.0	31.0	27.0	nbc-wsj-22940	NBC/WSJ	2015-10-15	2015-10-18		Adults	1000	3.1	Live Phone	Nonpartisan	None
51.0	37.0	12.0	cnn-22934	CNN	2015-10-14	2015-10-17		Adults	1028	3.0	Live Phone	Nonpartisan	None
47.0	38.0	15.0	yougov-economist-22920	YouGov/Economist	2015-10-08	2015-10-12		Adults	2000	2.8	Internet	Nonpartisan	None
49.0	37.0	15.0	gallup-22928	Gallup	2015-10-07	2015-10-11		Adults	1015	4.0	Live Phone	Nonpartisan	None
45.0	40.0	15.0	abc-post-22912	ABC/Post	2015-10-07	2015-10-11		Adults	1002	3.5	Live Phone	Nonpartisan	None
38.0	36.0	26.0	cbs-22889	CBS	2015-10-04	2015-10-08		Registered Voters	1038		Live Phone	Nonpartisan	None
44.0	44.0	12.0	ppp-d-22856	PPP (D)	2015-10-01	2015-10-04		Likely Voters	1338	2.7	IVR/Online	Pollster	Dem
49.0	37.0	14.0	yougov-economist-22829	YouGov/Economist	2015-09-25	2015-09-29		Adults	2000	2.8	Internet	Nonpartisan	None
51.0	35.0	15.0	suffolk-usa-today-22822	Suffolk/USA Today	2015-09-24	2015-09-28		Likely Voters	1000	3.0	Live Phone	Nonpartisan	None
49.0	40.0	11.0	morning-consult-22814	Morning Consult	2015-09-24	2015-09-27		Registered Voters	1543	2.0	Internet	Nonpartisan	None
40.0	28.0	32.0	nbc-wsj-22808	NBC/WSJ	2015-09-20	2015-09-24		Adults	1000	3.1	Live Phone	Nonpartisan	None
49.0	40.0	11.0	fox-22805	FOX	2015-09-20	2015-09-22		Registered Voters	1013	3.0	Live Phone	Nonpartisan	None
49.0	41.0	10.0	bloomberg-selzer-22787	Bloomberg/Selzer	2015-09-18	2015-09-21		Adults	1001	3.1	Live Phone	Nonpartisan	None
50.0	34.0	15.0	quinnipiac-22788	Quinnipiac	2015-09-17	2015-09-21		Registered Voters	787	2.5	Live Phone	Nonpartisan	None
48.0	37.0	14.0	yougov-economist-22749	YouGov/Economist	2015-09-11	2015-09-15		Adults	2000	2.9	Internet	Nonpartisan	None
37.0	29.0	34.0	msnbc-telemundo-marist-22763	MSNBC/Telemundo/Marist	2015-08-26	2015-09-09		Adults	1689	2.4	Live Phone	Sponsor	Other
46.0	39.0	15.0	yougov-economist-22659	YouGov/Economist	2015-08-28	2015-09-01		Adults	2000	2.8	Internet	Nonpartisan	None
43.0	40.0	17.0	ppp-d-22654	PPP (D)	2015-08-28	2015-08-30		Likely Voters	1254	2.8	IVR/Online	Pollster	Dem
46.0	46.0	9.0	abc-post-22650	ABC/Post	2015-08-26	2015-08-30		Adults	1005	3.5	Live Phone	Nonpartisan	None
48.0	39.0	12.0	quinnipiac-22621	Quinnipiac	2015-08-20	2015-08-25		Registered Voters	781		Live Phone	Nonpartisan	None
44.0	41.0	15.0	yougov-economist-22602	YouGov/Economist	2015-08-14	2015-08-18		Adults	2000	2.8	Internet	Nonpartisan	None
47.0	46.0	8.0	cnn-22576	CNN	2015-08-13	2015-08-16		Registered Voters	897	3.5	Live Phone	Nonpartisan	None
47.0	40.0	14.0	gallup-22546	Gallup	2015-08-05	2015-08-09		Adults	1011	4.0	Live Phone	Nonpartisan	None
41.0	41.0	17.0	yougov-economist-22517	YouGov/Economist	2015-07-31	2015-08-04		Adults	2000	2.7	Internet	Nonpartisan	None
49.0	39.0	12.0	quinnipiac-22468	Quinnipiac	2015-07-23	2015-07-28		Registered Voters	822		Live Phone	Nonpartisan	None
43.0	44.0	14.0	yougov-economist-22429	YouGov/Economist	2015-07-18	2015-07-20		Adults	1000	4.3	Internet	Nonpartisan	None
43.0	46.0	12.0	morning-consult-22405	Morning Consult	2015-07-17	2015-07-20		Registered Voters	1978	2.0	Internet	Nonpartisan	None
43.0	43.0	14.0	yougov-economist-22399	YouGov/Economist	2015-07-11	2015-07-13		Adults	1000	4.1	Internet	Nonpartisan	None
43.0	45.0	12.0	yougov-economist-22351	YouGov/Economist	2015-06-27	2015-06-29		Adults	1000	4.4	Internet	Nonpartisan	None
44.0	47.0	9.0	yougov-economist-22307	YouGov/Economist	2015-06-20	2015-06-22		Adults	1000	4.4	Internet	Nonpartisan	None
40.0	31.0	29.0	nbc-wsj-22284	NBC/WSJ	2015-06-14	2015-06-18		Adults	1000	3.1	Live Phone	Nonpartisan	None
42.0	45.0	13.0	yougov-economist-22274	YouGov/Economist	2015-06-13	2015-06-15		Adults	1000	4.4	Internet	Nonpartisan	None
43.0	42.0	14.0	yougov-economist-22248	YouGov/Economist	2015-06-06	2015-06-08		Adults	1000	4.4	Internet	Nonpartisan	None
46.0	43.0	11.0	yougov-economist-22217	YouGov/Economist	2015-05-30	2015-06-01		Adults	1000	4.4	Internet	Nonpartisan	None
43.0	41.0	15.0	quinnipiac-22181	Quinnipiac	2015-05-19	2015-05-26		Registered Voters	856		Live Phone	Nonpartisan	None
41.0	44.0	14.0	yougov-economist-22187	YouGov/Economist	2015-05-23	2015-05-25		Adults	1000	3.9	Internet	Nonpartisan	None
39.0	46.0	15.0	yougov-economist-22158	YouGov/Economist	2015-05-16	2015-05-18		Adults	1000	4.6	Internet	Nonpartisan	None
41.0	48.0	12.0	yougov-economist-22144	YouGov/Economist	2015-05-09	2015-05-11		Adults	1000	4.6	Internet	Nonpartisan	None
39.0	44.0	18.0	gwu-battleground-22124	GWU/Battleground	2015-05-03	2015-05-06		Registered Voters	1000	3.1	Live Phone	Nonpartisan	None
41.0	48.0	11.0	yougov-economist-22109	YouGov/Economist	2015-05-02	2015-05-04		Adults	1000	4.1	Internet	Nonpartisan	None
40.0	48.0	12.0	yougov-economist-22090	YouGov/Economist	2015-04-25	2015-04-27		Adults	1000	4.1	Internet	Nonpartisan	None
41.0	48.0	12.0	yougov-economist-22055	YouGov/Economist	2015-04-18	2015-04-20		Adults	1000	4.1	Internet	Nonpartisan	None
41.0	48.0	11.0	yougov-economist-22021	YouGov/Economist	2015-04-11	2015-04-13		Adults	1000	4.1	Internet	Nonpartisan	None
46.0	42.0	12.0	bloomberg-selzer-22029	Bloomberg/Selzer	2015-04-06	2015-04-08		Adults	1008	3.1	Live Phone	Nonpartisan	None
41.0	47.0	12.0	yougov-economist-22020	YouGov/Economist	2015-04-04	2015-04-06		Adults	1000	4.8	Internet	Nonpartisan	None
43.0	47.0	10.0	fox-21968	FOX	2015-03-29	2015-03-31		Registered Voters	1025	3.0	Live Phone	Nonpartisan	None
36.0	52.0	12.0	ppp-d-21983	PPP (D)	2015-03-26	2015-03-31		Likely Voters	989	3.1	IVR/Online	Pollster	Dem
43.0	45.0	13.0	yougov-economist-21970	YouGov/Economist	2015-03-28	2015-03-30		Adults	1000	4.2	Internet	Nonpartisan	None
41.0	43.0	16.0	yougov-economist-21931	YouGov/Economist	2015-03-21	2015-03-23		Adults	1000	4.3	Internet	Nonpartisan	None
47.0	42.0	11.0	yougov-economist-21911	YouGov/Economist	2015-03-14	2015-03-16		Adults	1000	4.3	Internet	Nonpartisan	None
43.0	46.0	11.0	cnn-21887	CNN	2015-03-13	2015-03-15		Adults	1009	3.0	Live Phone	Nonpartisan	None
37.0	46.0	16.0	yougov-economist-21914	YouGov/Economist	2015-03-07	2015-03-09		Adults	1000	4.2	Internet	Nonpartisan	None
39.0	39.0	22.0	gallup-21866	Gallup	2015-03-02	2015-03-04		Adults	1522	3.0	Live Phone	Nonpartisan	None
44.0	45.0	11.0	yougov-economist-21835	YouGov/Economist	2015-02-28	2015-03-02		Adults	1000	4.2	Internet	Nonpartisan	None
38.0	47.0	15.0	ppp-d-21784	PPP (D)	2015-02-20	2015-02-22		Likely Voters	691	3.7	IVR/Online	Pollster	Dem
40.0	47.0	14.0	yougov-economist-21744	YouGov/Economist	2015-02-07	2015-02-09		Adults	1000	4.1	Internet	Nonpartisan	None
40.0	46.0	14.0	yougov-economist-21693	YouGov/Economist	2015-01-31	2015-02-02		Adults	1000	4.0	Internet	Nonpartisan	None
42.0	47.0	11.0	yougov-economist-21692	YouGov/Economist	2015-01-24	2015-01-26		Adults	1000	4.0	Internet	Nonpartisan	None
37.0	48.0	15.0	yougov-economist-21629	YouGov/Economist	2015-01-17	2015-01-19		Adults	1000	4.0	Internet	Nonpartisan	None
44.0	44.0	12.0	fox-21602	FOX	2015-01-11	2015-01-13		Registered Voters	1018	3.0	Live Phone	Nonpartisan	None
44.0	46.0	10.0	yougov-economist-21599	YouGov/Economist	2015-01-10	2015-01-12		Adults	1000	4.8	Internet	Nonpartisan	None
39.0	48.0	6.0	yougov-economist-21576	YouGov/Economist	2015-01-03	2015-01-05		Adults	1000	4.3	Internet	Nonpartisan	None
43.0	45.0	13.0	yougov-economist-21572	YouGov/Economist	2014-12-27	2014-12-29		Adults	1000	4.3	Internet	Nonpartisan	None
40.0	46.0	14.0	yougov-economist-21571	YouGov/Economist	2014-12-20	2014-12-22		Adults	1000	4.5	Internet	Nonpartisan	None
41.0	46.0	14.0	yougov-economist-21545	YouGov/Economist	2014-12-13	2014-12-15		Adults	1000	4.5	Internet	Nonpartisan	None
43.0	44.0	13.0	yougov-economist-21544	YouGov/Economist	2014-12-06	2014-12-08		Adults	1000	4.9	Internet	Nonpartisan	None
36.0	49.0	15.0	yougov-economist-21493	YouGov/Economist	2014-11-22	2014-11-24		Adults	1000	4.7	Internet	Nonpartisan	None
40.0	48.0	11.0	rasmussen-21517	Rasmussen	2014-11-18	2014-11-19		Likely Voters	1000	3.0	IVR/Online	Nonpartisan	None
42.0	44.0	13.0	yougov-economist-21492	YouGov/Economist	2014-11-15	2014-11-17		Adults	1000	4.4	Internet	Nonpartisan	None
35.0	38.0	27.0	nbc-wsj-21447	NBC/WSJ	2014-11-14	2014-11-17		Adults	1000	3.1	Live Phone	Nonpartisan	None
38.0	50.0	12.0	yougov-economist-21491	YouGov/Economist	2014-11-08	2014-11-10		Adults	1000	4.5	Internet	Nonpartisan	None
38.0	47.0	14.0	yougov-economist-21425	YouGov/Economist	2014-11-01	2014-11-03		Adults	1000	5.0	Internet	Nonpartisan	None
40.0	50.0	10.0	yougov-economist-21424	YouGov/Economist	2014-10-25	2014-10-27		Adults	1000	4.4	Internet	Nonpartisan	None
39.0	48.0	13.0	yougov-economist-21423	YouGov/Economist	2014-10-18	2014-10-20		Adults	1000	5.0	Internet	Nonpartisan	None
41.0	46.0	13.0	yougov-economist-20905	YouGov/Economist	2014-10-11	2014-10-13		Adults	1000	4.6	Internet	Nonpartisan	None
42.0	46.0	12.0	yougov-economist-20791	YouGov/Economist	2014-10-04	2014-10-06		Adults	1000	4.4	Internet	Nonpartisan	None
43.0	45.0	12.0	yougov-economist-20790	YouGov/Economist	2014-09-27	2014-09-29		Adults	1000	4.4	Internet	Nonpartisan	None
40.0	44.0	16.0	yougov-economist-20590	YouGov/Economist	2014-09-20	2014-09-22		Adults	1000	4.7	Internet	Nonpartisan	None
40.0	46.0	14.0	yougov-economist-20492	YouGov/Economist	2014-09-13	2014-09-15		Adults	1000	4.5	Internet	Nonpartisan	None
41.0	45.0	15.0	yougov-economist-20426	YouGov/Economist	2014-09-06	2014-09-08		Adults	1000	4.3	Internet	Nonpartisan	None
42.0	43.0	15.0	yougov-economist-20284	YouGov/Economist	2014-08-30	2014-09-01		Adults	1000	4.0	Internet	Nonpartisan	None
42.0	51.0	7.0	rasmussen-20216	Rasmussen	2014-08-24	2014-08-25		Likely Voters	1000	3.0	IVR/Online	Nonpartisan	None
42.0	43.0	14.0	yougov-economist-20229	YouGov/Economist	2014-08-23	2014-08-25		Adults	1000	4.3	Internet	Nonpartisan	None
41.0	47.0	12.0	yougov-economist-20180	YouGov/Economist	2014-08-16	2014-08-18		Adults	1000	4.6	Internet	Nonpartisan	None
43.0	42.0	15.0	yougov-economist-20130	YouGov/Economist	2014-08-09	2014-08-11		Adults	1000	4.6	Internet	Nonpartisan	None
40.0	42.0	17.0	yougov-economist-20060	YouGov/Economist	2014-08-02	2014-08-04		Adults	1000	4.7	Internet	Nonpartisan	None
40.0	47.0	12.0	yougov-economist-20005	YouGov/Economist	2014-07-26	2014-07-28		Adults	1000	5.0	Internet	Nonpartisan	None
38.0	47.0	15.0	ap-gfk-web-20024	AP-GfK (Web)	2014-07-24	2014-07-28		Adults	1044	3.4	Internet	Nonpartisan	None
41.0	47.0	13.0	yougov-economist-19908	YouGov/Economist	2014-07-19	2014-07-21		Adults	1000	4.3	Internet	Nonpartisan	None
40.0	48.0	12.0	yougov-economist-19867	YouGov/Economist	2014-07-12	2014-07-14		Adults	1000	4.0	Internet	Nonpartisan	None
38.0	42.0	20.0	gallup-19870	Gallup	2014-07-07	2014-07-10		Adults	1013	4.0	Live Phone	Nonpartisan	None
43.0	43.0	14.0	yougov-economist-19819	YouGov/Economist	2014-07-05	2014-07-07		Adults	1000	4.1	Internet	Nonpartisan	None
44.0	43.0	12.0	yougov-economist-19801	YouGov/Economist	2014-06-28	2014-06-30		Adults	1000	4.1	Internet	Nonpartisan	None
42.0	44.0	14.0	quinnipiac-19810	Quinnipiac	2014-06-24	2014-06-30		Registered Voters	723		Live Phone	Nonpartisan	None
45.0	44.0	11.0	yougov-economist-19750	YouGov/Economist	2014-06-21	2014-06-23		Adults	1000	4.2	Internet	Nonpartisan	None
40.0	49.0	11.0	yougov-economist-19716	YouGov/Economist	2014-06-14	2014-06-16		Adults	1000	4.2	Internet	Nonpartisan	None
38.0	50.0	11.0	yougov-economist-19633	YouGov/Economist	2014-06-07	2014-06-09		Adults	1000	4.1	Internet	Nonpartisan	None
46.0	48.0		saint-leo-university-19639	Saint Leo University	2014-05-28	2014-06-04		Likely Voters	802	3.5	Internet	Nonpartisan	None
42.0	46.0	11.0	yougov-economist-19444	YouGov/Economist	2014-05-10	2014-05-12		Adults	1000	4.2	Internet	Nonpartisan	None
40.0	48.0	12.0	yougov-economist-19397	YouGov/Economist	2014-05-03	2014-05-05		Adults	1000	4.2	Internet	Nonpartisan	None
46.0	45.0	9.0	yougov-economist-19367	YouGov/Economist	2014-04-26	2014-04-28		Adults	1000	4.3	Internet	Nonpartisan	None
