Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,?Finland,7.809,1.285,1.5,0.961,0.662,0.16,0.478
2,?Denmark,7.646,1.327,1.503,0.979,0.665,0.243,0.495
3, Switzerland,7.56,1.391,1.472,1.041,0.629,0.269,0.408
4,?Iceland,7.504,1.327,1.548,1.001,0.662,0.362,0.145
5,?Norway,7.488,1.424,1.495,1.008,0.67,0.288,0.434
6,?Netherlands,7.449,1.339,1.464,0.976,0.614,0.336,0.369
7,?Sweden,7.353,1.322,1.433,0.986,0.65,0.273,0.442
8,?New Zealand,7.3,1.242,1.487,1.008,0.647,0.326,0.461
9,?Austria,7.294,1.317,1.437,1.001,0.603,0.256,0.281
10,?Luxembourg,7.238,1.537,1.388,0.986,0.61,0.196,0.367
11,?Canada,7.232,1.302,1.435,1.023,0.644,0.282,0.352
12,?Australia,7.223,1.31,1.477,1.023,0.622,0.325,0.336
13,?United Kingdom,7.165,1.273,1.458,0.976,0.525,0.373,0.323
14,?Israel,7.129,1.216,1.403,1.008,0.421,0.267,0.1
15,?Costa Rica,7.121,0.981,1.375,0.94,0.645,0.131,0.096
16,?Ireland,7.094,1.447,1.471,0.976,0.588,0.295,0.373
17,?Germany,7.076,1.314,1.369,0.972,0.564,0.252,0.309
18,?United States,6.94,1.374,1.405,0.832,0.535,0.298,0.152
19,?Czech Republic,6.911,1.212,1.405,0.895,0.506,0.046,0.05
20,?Belgium,6.864,1.296,1.399,0.965,0.5,0.147,0.209
21,?United Arab Emirates,6.791,1.431,1.251,0.788,0.653,0.281,0.22
22,?Malta,6.773,1.253,1.443,0.972,0.633,0.341,0.179
23,?France,6.664,1.268,1.459,1.03,0.514,0.113,0.227
24,?Mexico,6.465,1.024,1.226,0.832,0.554,0.083,0.083
25,?Taiwan,6.455,1.327,1.358,0.878,0.449,0.151,0.132
26,?Uruguay,6.44,1.071,1.425,0.857,0.594,0.132,0.193
27,?Saudi Arabia,6.406,1.334,1.31,0.76,0.548,0.087,0.163
28,?Spain,6.401,1.231,1.421,1.051,0.426,0.165,0.11
29,?Guatemala,6.399,0.754,1.174,0.706,0.613,0.171,0.098
30,?Italy,6.387,1.236,1.347,1.023,0.321,0.17,0.04
31,?Singapore,6.377,1.52,1.395,1.138,0.635,0.219,0.533
32,?Brazil,6.376,0.953,1.363,0.766,0.483,0.132,0.107
33,?Slovenia,6.363,1.209,1.465,0.933,0.647,0.146,0.077
34,?El Salvador,6.348,0.749,1.149,0.753,0.524,0.119,0.117
35,?Kosovo,6.325,0.84,1.184,0.673,0.557,0.325,0.009
36,?Panama,6.305,1.098,1.376,0.879,0.58,0.097,0.054
37,?Slovakia,6.281,1.195,1.424,0.853,0.424,0.117,0.011
38,?Uzbekistan,6.258,0.697,1.434,0.717,0.693,0.363,0.28
39,?Chile,6.228,1.097,1.323,0.889,0.417,0.156,0.063
40,?Bahrain,6.227,1.297,1.315,0.839,0.61,0.287,0.127
41,?Lithuania,6.215,1.194,1.433,0.795,0.42,0.054,0.081
42,?Trinidad and Tobago,6.192,1.168,1.407,0.659,0.553,0.199,0.015
43,?Poland,6.186,1.169,1.31,0.868,0.558,0.063,0.161
44,?Colombia,6.163,0.932,1.334,0.81,0.527,0.092,0.046
45,?Cyprus,6.159,1.213,1.149,1.026,0.459,0.228,0.051
46,?Nicaragua,6.137,0.62,1.271,0.803,0.56,0.213,0.174
47,?Romania,6.124,1.12,1.194,0.792,0.535,0.068,0.001
48,?Kuwait,6.102,1.425,1.245,0.776,0.57,0.133,0.113
49,?Mauritius,6.101,1.074,1.396,0.763,0.591,0.187,0.084
50,?Kazakhstan,6.058,1.123,1.453,0.699,0.497,0.154,0.11
51,?Estonia,6.022,1.192,1.453,0.843,0.577,0.125,0.202
52,?Philippines,6.006,0.775,1.245,0.602,0.622,0.129,0.13
53,?Hungary,6,1.164,1.423,0.807,0.386,0.07,0.028
54,?Thailand,5.999,1.007,1.348,0.794,0.609,0.377,0.032
55,?Argentina,5.975,1.028,1.373,0.85,0.521,0.07,0.06
56,?Honduras,5.953,0.599,1.187,0.792,0.568,0.257,0.087
57,?Latvia,5.95,1.141,1.414,0.778,0.329,0.075,0.09
58,?Ecuador,5.925,0.853,1.221,0.839,0.555,0.115,0.087
59,?Portugal,5.911,1.169,1.34,0.979,0.59,0.053,0.028
60,?Jamaica,5.89,0.779,1.408,0.788,0.553,0.116,0.03
61,?South Korea,5.872,1.245,1.134,1.023,0.259,0.17,0.095
62,?Japan,5.871,1.267,1.332,1.073,0.495,0.036,0.181
63,?Peru,5.797,0.919,1.208,0.824,0.513,0.092,0.027
64,?Serbia,5.778,0.988,1.327,0.828,0.395,0.15,0.059
65,?Bolivia,5.747,0.731,1.142,0.662,0.574,0.138,0.073
66,?Pakistan,5.693,0.617,0.873,0.47,0.405,0.229,0.123
67,?Paraguay,5.692,0.898,1.368,0.736,0.587,0.204,0.065
68,?Dominican Republic,5.689,0.983,1.329,0.742,0.563,0.112,0.116
69,?Bosnia and Herzegovina,5.674,0.918,1.204,0.814,0.305,0.264,0.001
70,?Moldova,5.608,0.708,1.237,0.713,0.39,0.174,0.014
71,?Tajikistan,5.556,0.475,1.218,0.681,0.521,0.182,0.222
72,?Montenegro,5.546,1.01,1.266,0.839,0.303,0.149,0.098
73,?Russia,5.546,1.127,1.379,0.68,0.399,0.099,0.046
74,?Kyrgyzstan,5.542,0.513,1.341,0.681,0.615,0.301,0.03
75,?Belarus,5.54,1.019,1.387,0.753,0.291,0.09,0.194
76,?North Cyprus,5.536,1.213,1.183,1.026,0.478,0.199,0.2
77,?Greece,5.515,1.128,1.169,0.979,0.174,0,0.049
78,?Hong Kong,5.51,1.377,1.244,1.137,0.459,0.288,0.332
79,?Croatia,5.505,1.109,1.311,0.901,0.381,0.114,0.012
80,?Libya,5.489,1.022,1.196,0.616,0.451,0.143,0.172
81,?Mongolia,5.456,0.905,1.459,0.616,0.356,0.264,0.047
82,?Malaysia,5.384,1.168,1.174,0.789,0.597,0.275,0.062
83,?Vietnam,5.353,0.718,1.253,0.819,0.651,0.136,0.09
84,?Indonesia,5.286,0.892,1.155,0.61,0.568,0.543,0.038
85,?Ivory Coast,5.233,0.537,0.8,0.155,0.397,0.17,0.093
86,?Benin,5.216,0.366,0.352,0.328,0.406,0.197,0.126
87,?Maldives,5.198,0.938,1.402,0.914,0.548,0.224,0.072
88,?Congo (Brazzaville),5.194,0.634,0.758,0.458,0.387,0.117,0.119
89,?Azerbaijan,5.165,0.99,1.181,0.731,0.468,0.04,0.247
90,?Macedonia,5.16,0.935,1.183,0.803,0.41,0.186,0.025
91,?Ghana,5.148,0.576,0.966,0.432,0.477,0.261,0.057
92,???Nepal,5.137,0.444,1.101,0.669,0.481,0.301,0.128
93,?Turkey,5.132,1.127,1.197,0.781,0.254,0.086,0.121
94,?China,5.124,0.991,1.132,0.867,0.602,0.079,0.117
95,?Turkmenistan,5.119,1.009,1.51,0.612,0.515,0.323,0.034
96,?Bulgaria,5.102,1.047,1.461,0.778,0.418,0.104,0
97,?Morocco,5.095,0.759,0.645,0.745,0.45,0.04,0.077
98,?Cameroon,5.085,0.504,0.9,0.27,0.439,0.198,0.054
99,?Venezuela,5.053,0.77,1.349,0.767,0.272,0.087,0.064
100,?Algeria,5.005,0.944,1.143,0.745,0.084,0.119,0.129
101,?Senegal,4.981,0.504,0.955,0.518,0.352,0.164,0.082
102,?Guinea,4.949,0.39,0.751,0.334,0.372,0.249,0.112
103,?Niger,4.91,0.108,0.704,0.299,0.435,0.208,0.138
104,?Laos,4.889,0.715,0.987,0.486,0.612,0.273,0.194
105,?Albania,4.883,0.907,0.83,0.846,0.462,0.171,0.025
106,?Cambodia,4.848,0.545,1.071,0.588,0.675,0.233,0.073
107,?Bangladesh,4.833,0.556,0.869,0.695,0.604,0.177,0.177
108,?Gabon,4.829,0.988,1.106,0.523,0.369,0.052,0.056
109,?South Africa,4.814,0.902,1.259,0.407,0.435,0.126,0.06
110,?Iraq,4.785,0.982,1.011,0.529,0.284,0.153,0.073
111,?Lebanon,4.772,0.889,1.192,0.789,0.186,0.159,0.022
112,?Burkina Faso,4.769,0.302,0.929,0.313,0.322,0.186,0.126
113,?Gambia,4.751,0.257,0.883,0.353,0.403,0.426,0.158
114,?Mali,4.729,0.352,0.973,0.235,0.378,0.17,0.062
115,?Nigeria,4.724,0.646,0.987,0.168,0.435,0.221,0.048
116,?Armenia,4.677,0.808,1.035,0.776,0.378,0.107,0.105
117,?Georgia,4.673,0.847,0.731,0.695,0.485,0.048,0.174
118,?Iran,4.672,1.029,0.886,0.749,0.301,0.277,0.143
119,?Jordan,4.633,0.785,1.14,0.778,0.425,0.091,0.152
120,?Mozambique,4.624,0.179,0.955,0.324,0.561,0.22,0.163
121,?Kenya,4.583,0.476,0.905,0.536,0.519,0.394,0.067
122,?Namibia,4.571,0.84,1.246,0.407,0.445,0.076,0.054
123,?Ukraine,4.561,0.78,1.321,0.699,0.319,0.179,0.01
124,?Liberia,4.558,0.174,0.921,0.392,0.406,0.227,0.051
125,?Palestine,4.553,0.588,1.195,0.614,0.299,0.092,0.072
126,?Uganda,4.432,0.312,1.052,0.378,0.402,0.265,0.064
127,?Chad,4.423,0.302,0.739,0.109,0.229,0.211,0.086
128,?Tunisia,4.392,0.875,0.872,0.781,0.236,0.056,0.044
129,?Mauritania,4.375,0.54,1.113,0.425,0.186,0.129,0.122
130,?Sri Lanka,4.327,0.898,1.195,0.792,0.529,0.253,0.049
131,?Congo (Kinshasa),4.311,0.062,0.833,0.277,0.365,0.254,0.081
132,?Swaziland,4.308,0.828,1.065,0.216,0.3,0.067,0.147
133,?Myanmar,4.308,0.678,1.098,0.495,0.597,0.57,0.188
134,?Comoros,4.289,0.416,0.723,0.437,0.181,0.259,0.1
135,?Togo,4.187,0.268,0.548,0.343,0.304,0.201,0.115
136,?Ethiopia,4.186,0.315,1.001,0.484,0.413,0.228,0.117
137,?Madagascar,4.166,0.245,0.824,0.501,0.193,0.191,0.076
138,?Egypt,4.151,0.875,0.983,0.597,0.374,0.069,0.095
139,?Sierra Leone,3.926,0.241,0.748,0.204,0.382,0.258,0.048
140,?Burundi,3.775,0,0.404,0.295,0.275,0.187,0.212
141,?Zambia,3.759,0.537,0.896,0.364,0.491,0.251,0.087
142,?Haiti,3.721,0.285,0.647,0.374,0.169,0.464,0.162
143,?Lesotho,3.653,0.455,1.089,0.101,0.409,0.103,0.05
144,?India,3.573,0.731,0.644,0.541,0.581,0.237,0.106
145,?Malawi,3.538,0.177,0.53,0.446,0.487,0.213,0.132
146,?Yemen,3.527,0.393,1.177,0.415,0.244,0.095,0.087
147,?Botswana,3.479,0.998,1.086,0.494,0.509,0.033,0.102
148,?Tanzania,3.476,0.457,0.873,0.443,0.509,0.272,0.204
149,?Central African Republic,3.476,0.041,0,0,0.293,0.254,0.028
150,?Rwanda,3.312,0.343,0.523,0.572,0.604,0.236,0.486
151,?Zimbabwe,3.299,0.426,1.048,0.375,0.377,0.151,0.081
152,?South Sudan,2.817,0.289,0.553,0.209,0.066,0.21,0.111
153,?Afghanistan,2.567,0.301,0.356,0.266,0,0.135,0.001
